author,content,description,publishedAt,source,title,url,urlToImage
,"POLITICIANS OFTEN like to rally their supporters by railing against foreign menaces. Mexicos president is an exception. Even as Andrés Manuel López Obrador rages against other indignities of modern Mexican life, he dare not criticise Donald Trump too harshly.… [+5700 chars]",Its economy is too close to America to stand up to him,2019-06-06T14:33:55Z,"{'id': 'the-economist', 'name': 'The Economist'}",Mexico has little choice but to placate Donald Trump,https://www.economist.com/the-americas/2019/06/06/mexico-has-little-choice-but-to-placate-donald-trump,https://www.economist.com/sites/default/files/images/print-edition/20190608_AMP003_0.jpg
,"POLITICIANS OFTEN like to rally their supporters by railing against foreign menaces. Mexicos president is an exception. Even as Andrés Manuel López Obrador rages against other indignities of modern Mexican life, he dare not criticise Donald Trump too harshly.… [+5499 chars]","P OLITICIANS OFTEN like to rally their supporters by railing against foreign menaces. Mexico’s president is an exception. Even as Andrés Manuel López Obrador rages against other indignities of modern Mexican life, he dare not criticise Donald Trump too harshl…",2019-06-06T14:34:06Z,"{'id': 'the-economist', 'name': 'The Economist'}",Mexico has little choice but to placate Donald Trump,https://www.economist.com/node/21765095,http:////cdn.static-economist.com/sites/default/files/cf_images/images-magazine/2019/06/08/AM/20190608_AMP003_facebook.jpg
"Sean Coppack and James Masters, CNN","(CNN)A Brazilian woman who has accused Neymar of rape has broken her silence to provide a detailed account of the evening she spent with the Brazilian soccer star to reaffirm her allegations against him.
In a television interview with Brazilian station SBT b… [+6459 chars]",A Brazilian woman who has accused Neymar of rape has broken her silence to provide a detailed account of the evening she spent with the Brazilian soccer star to reaffirm her allegations against him.,2019-06-06T16:47:55Z,"{'id': 'cnn', 'name': 'CNN'}",Alleged Neymar rape: Brazilian woman says she was left 'traumatized' by soccer star,https://edition.cnn.com/2019/06/06/football/neymar-rape-allegations-copa-america-spt-intl/index.html,https://cdn.cnn.com/cnnnext/dam/assets/190606131917-neymar-tease-super-tease.jpg
Reuters Editorial,"BRASILIA (Reuters) - President Jair Bolsonaro will reissue a temporary decree removing a deadline for farmers to register their properties on an environmental registry set up by Brazil’s 2012 forestry code, the head of the congressional farm caucus said on Th… [+1860 chars]","President Jair Bolsonaro will reissue a temporary decree removing a deadline for farmers to register their properties on an environmental registry set up by Brazil's 2012 forestry code, the head of the congressional farm caucus said on Thursday.",2019-06-06T18:41:57Z,"{'id': 'reuters', 'name': 'Reuters'}",Brazil's Bolsonaro to extend environmental land registry indefinitely,https://www.reuters.com/article/us-brazil-environment-idUSKCN1T72JS,https://s3.reutersmedia.net/resources/r/?m=02&d=20190606&t=2&i=1395086759&w=1200&r=LYNXNPEF551N6
MAURICIO SAVARESE,"Neymar is out of Copa America after suffering a right ankle injury in a win over Qatar on Thursday (NZT).
 Brazil's football confederation said in a statement that Neymar had a ligament rupture in his ankle and will not recover in time to play the South Amer… [+855 chars]",The Brazilian star left a friendly against Qatar in tears after twisting his ankle.,2019-06-06T18:20:31Z,"{'id': None, 'name': 'Stuff.co.nz'}",Ankle injury forces Brazil star Neymar out of Copa America,https://www.stuff.co.nz/sport/football/world-game/113300065/ankle-injury-forces-brazil-star-neymar-out-of-copa-america,https://resources.stuff.co.nz/content/dam/images/1/v/g/e/w/b/image.related.StuffLandscapeSixteenByNine.1420x800.1vgew1.png/1559845231202.jpg
"Kenneth Rapoza, Contributor, Kenneth Rapoza, Contributor https://www.forbes.com/sites/kenrapoza/","Trucks move along BR 364 in Acre, a northwestern state in the Amazon biome back in 2014. Forest clearings in Brazil rise and fall for various reasons, no matter who the president is. Photographer: Dado Galdieri/Bloomberg
© 2014 Bloomberg Finance LP
Environm… [+14976 chars]",Brazil's Amazon has been getting chopped down at larger rates since at least 2005. It coincides with Chinese demand for forest commodities.,2019-06-06T12:00:00Z,"{'id': None, 'name': 'Forbes.com'}","In Brazil, Bolsonaro's Deforestation Might As Well Be China's",https://www.forbes.com/sites/kenrapoza/2019/06/06/in-brazil-bolsonaros-deforestation-might-as-well-be-chinas/,https://thumbor.forbes.com/thumbor/600x315/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5cf824da9736330008ab2865%2F960x0.jpg%3FcropX1%3D400%26cropX2%3D2000%26cropY1%3D2%26cropY2%3D902
,"Neymar limped off in the 17th minute after he appeared to twist his right ankle and the Brazilian Football Confederation (CBF) later confirmed he would miss the tournament.
""Neymar was evaluated and underwent scans that confirmed a ligament rupture in the an… [+2046 chars]",Brazil's 2-0 friendly win over Asian champions Qatar in Brasilia on Wednesday came at a heavy cost after they lost striker Neymar for this month's Copa America because of an ankle ligament injury.,2019-06-06T18:40:50Z,"{'id': None, 'name': 'Bdnews24.com'}",Neymar ruled out of Copa America after Brazil beat Qatar,https://bdnews24.com/sport/2019/06/07/neymar-ruled-out-of-copa-america-after-brazil-beat-qatar,https://d30fl32nd2baj9.cloudfront.net/media/2019/06/06/neymar.jpg/ALTERNATES/w640/neymar.jpg
,"BRASILIA: Superstar Neymar was ruled out of the Copa America Thursday after tearing his right ankle ligament during Brazil's 2-0 friendly win over Qatar.
""Due to the seriousness of the injury, Neymar will neither be fit nor have time to recuperate sufficient… [+2863 chars]",Football News: Superstar Neymar was ruled out of the Copa America Thursday after tearing his right ankle ligament during Brazil's 2-0 friendly win over Qatar.,2019-06-06T11:07:27Z,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Brazil's Neymar out of Copa America after tearing ankle ligament,https://timesofindia.indiatimes.com/sports/football/top-stories/brazils-neymar-out-of-copa-america-after-tearing-ankle-ligament/articleshow/69676460.cms,"https://static.toiimg.com/thumb/msid-69676454,width-1070,height-580,imgsize-1212863,resizemode-6,overlay-toi_sw,pt-32,y_pad-40/photo.jpg"
The Associated Press,"RIO DE JANEIRO - Brazilian President Jair Bolsonaro has enacted a drug policy law designed to toughen penalties for traffickers and require users to undergo rehabilitation at private or religious centres.
The law was approved by the Senate in May and appeare… [+604 chars]",RIO DE JANEIRO - Brazilian President Jair Bolsonaro has enacted a drug policy law designed to toughen penalties for traffickers and require users to undergo rehabilitation at private or religious centres.,2019-06-06T15:49:24Z,"{'id': None, 'name': 'Thestar.com'}",Brazil’s Bolsonaro enacts tough drug policy changes,https://www.thestar.com/news/world/americas/2019/06/06/brazils-bolsonaro-enacts-tough-drug-policy-changes.html,https://www.thestar.com/assets/img/thestar-ribbon.png
The Associated Press,"This copy is for your personal non-commercial use only. To order presentation-ready copies of Toronto Star content for distribution to colleagues, clients or customers, or inquire about permissions/licensing, please go to: www.TorontoStarReprints.com
BUENOS … [+1183 chars]","BUENOS AIRES, Argentina - The presidents of Argentina and Brazil have discussed ways to expand both countries' economies and reiterated their rejection of Venezuela's President Nicolás Maduro.",2019-06-06T17:04:35Z,"{'id': None, 'name': 'Thestar.com'}","Argentina and Brazil discuss economic ties, reject Maduro",https://www.thestar.com/news/world/americas/2019/06/06/argentina-and-brazil-discuss-economic-ties-reject-maduro.html,https://images.thestar.com/RjVWYocvpAWvpuEh42rpU7ALLMQ=/1280x1024/smart/filters:cb(1559840747945)/https://www.thestar.com/content/dam/thestar/news/world/americas/2019/06/06/argentina-and-brazil-discuss-economic-ties-reject-maduro/XNP106-66_2019_160320.jpg
,SAO PAULO  Sexual assault allegations against Brazilian soccer superstar Neymar Jr. and his decision to defend himself by posting what he described as intimate moments with his accuser on social media have sparked debates here about consent and attitudes abou… [+3999 chars],A model's allegations have stirred heated discussions on consent and attitudes about celebrities and accusers.,2019-06-06T17:44:27Z,"{'id': 'the-washington-post', 'name': 'The Washington Post'}","In Brazil, sex assault claim against soccer star Neymar sparks fierce debate",https://www.washingtonpost.com/world/the_americas/in-brazil-sex-assault-claim-against-soccer-star-neymar-sparks-fierce-debate/2019/06/06/20beb1ba-87b0-11e9-9d73-e2ba6bbf1b9b_story.html,https://www.washingtonpost.com/resizer/tgFA8ealgd-RV4EK0adsoMUt0ZQ=/1484x0/arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/L7YHWAUH3UI6TGGB5FC24XNY7M.jpg
Hans von der Burchard,"President of Argentina Mauricio Macri and President of Brazil Jair Bolsonaro look on during Bolsonaro's first State Visit to Argentina at Casa Rosada on June 6, 2019 in Buenos Aires, Argentina. | Amilcar Orfali/Getty Images
The EU and the South American trad… [+1052 chars]",Officials from the EU and Mercosur have raised hopes that the deal could be closed during high-level talks in the last week of June.,2019-06-06T16:52:30Z,"{'id': None, 'name': 'Politico.eu'}",Brazil: EU and Mercosur ‘on the verge of signing’ trade deal,http://www.politico.eu/article/brazil-eu-and-mercosur-on-the-verge-of-signing-trade-deal/,https://www.politico.eu/wp-content/uploads/2019/06/GettyImages-1148329689-1200x628.jpg
